Date, Open, High, Low, Close
10/28/87, 233.28, 238.58, 226.29, 233.28
10/27/87, 233.19, 237.81, 227.67, 233.19
10/26/87, 227.67, 248.22, 227.26, 227.67
10/23/87, 248.22, 250.70, 242.76, 248.22
10/22/87, 248.25, 258.38, 242.99, 248.25
10/21/87, 258.38, 258.47, 249.60, 258.38
10/20/87, 236.83, 238.26, 221.39, 236.83
10/19/87, 224.84, 282.70, 224.83, 224.84
10/16/87, 282.70, 298.92, 281.52, 282.70
10/15/87, 298.08, 305.23, 298.07, 298.08
10/14/87, 305.23, 314.52, 304.78, 305.23
10/13/87, 314.52, 314.53, 309.39, 314.52
10/12/87, 309.39, 311.07, 307.76, 309.39
10/09/87, 311.07, 315.04, 310.97, 311.07
10/08/87, 314.16, 319.34, 312.02, 314.16
10/07/87, 318.54, 319.39, 315.78, 318.54
10/06/87, 319.22, 328.08, 319.17, 319.22
10/05/87, 328.08, 328.57, 326.09, 328.08
10/02/87, 328.07, 328.94, 327.22, 328.07
10/01/87, 327.33, 327.34, 321.83, 327.33
09/30/87, 321.83, 322.53, 320.16, 321.83
09/29/87, 321.69, 324.63, 320.27, 321.69
09/28/87, 323.20, 325.33, 320.16, 323.20
09/25/87, 320.16, 320.55, 318.10, 320.16
09/24/87, 319.72, 322.01, 319.12, 319.72
09/23/87, 321.19, 321.83, 319.12, 321.19
09/22/87, 319.50, 319.51, 308.69, 319.50
09/21/87, 310.54, 317.66, 310.12, 310.54
09/18/87, 314.86, 316.99, 314.86, 314.86
09/17/87, 314.93, 316.08, 313.45, 314.93
09/16/87, 314.86, 319.50, 314.61, 314.86
09/15/87, 317.74, 323.08, 317.63, 317.74
09/14/87, 323.08, 323.81, 320.40, 323.08
09/11/87, 321.98, 322.45, 317.13, 321.98
09/10/87, 317.13, 317.59, 313.92, 317.13
09/09/87, 313.92, 315.41, 312.29, 313.92
09/08/87, 313.56, 316.70, 308.56, 313.56
09/04/87, 316.70, 322.03, 316.53, 316.70
09/03/87, 320.21, 324.29, 317.39, 320.21
09/02/87, 321.68, 324.53, 318.76, 321.68
09/01/87, 323.40, 332.18, 322.83, 323.40
08/31/87, 329.80, 329.79, 327.82, 329.80
08/28/87, 327.04, 331.38, 327.04, 327.04
08/27/87, 331.38, 334.57, 331.10, 331.38
08/26/87, 334.57, 337.39, 334.46, 334.57
08/25/87, 336.77, 337.89, 333.33, 336.77
08/24/87, 333.33, 335.90, 331.92, 333.33
08/21/87, 335.90, 336.37, 334.30, 335.90
08/20/87, 334.84, 335.19, 329.83, 334.84
08/19/87, 329.83, 329.89, 326.54, 329.83
08/18/87, 329.25, 334.11, 326.43, 329.25
08/17/87, 334.11, 335.43, 332.88, 334.11
08/14/87, 333.99, 336.08, 332.63, 333.99
08/13/87, 334.65, 335.52, 332.38, 334.65
08/12/87, 332.39, 334.57, 331.06, 332.39
08/11/87, 333.33, 333.40, 328.00, 333.33
08/10/87, 328.00, 328.00, 322.95, 328.00
08/07/87, 323.00, 324.15, 321.82, 323.00
08/06/87, 322.09, 322.09, 317.50, 322.09
08/05/87, 318.45, 319.74, 316.23, 318.45
08/04/87, 316.23, 318.25, 314.51, 316.23
08/03/87, 317.57, 320.26, 316.52, 317.57
07/31/87, 318.66, 318.85, 317.56, 318.66
07/30/87, 318.05, 318.53, 315.65, 318.05
07/29/87, 315.65, 315.65, 311.73, 315.65
07/28/87, 312.33, 312.33, 310.28, 312.33
07/27/87, 310.65, 310.70, 308.61, 310.65
07/24/87, 309.27, 309.28, 307.78, 309.27
07/23/87, 307.81, 309.03, 306.27, 307.81
07/22/87, 308.47, 309.12, 307.22, 308.47
07/21/87, 308.55, 312.41, 307.51, 308.55
07/20/87, 311.39, 314.59, 311.24, 311.39
07/17/87, 314.59, 314.59, 312.38, 314.59
07/16/87, 312.70, 312.83, 310.42, 312.70
07/15/87, 310.42, 312.08, 309.07, 310.42
07/14/87, 310.68, 310.69, 307.46, 310.68
07/13/87, 307.63, 308.41, 305.49, 307.63
07/10/87, 308.37, 308.40, 306.96, 308.37
07/09/87, 307.52, 309.56, 307.42, 307.52
07/08/87, 308.29, 308.48, 306.01, 308.29
07/07/87, 307.40, 308.63, 304.73, 307.40
07/06/87, 304.92, 306.75, 304.23, 304.92
07/02/87, 305.63, 306.34, 302.94, 305.63
07/01/87, 302.94, 304.00, 302.53, 302.94
06/30/87, 304.00, 308.00, 303.01, 304.00
06/29/87, 307.90, 308.15, 306.75, 307.90
06/26/87, 307.16, 308.96, 306.38, 307.16
06/25/87, 308.96, 309.44, 306.86, 308.96
06/24/87, 306.86, 308.91, 306.32, 306.86
06/23/87, 308.43, 310.27, 307.48, 308.43
06/22/87, 309.65, 310.20, 306.97, 309.65
06/19/87, 306.97, 306.97, 305.55, 306.97
06/18/87, 305.69, 306.13, 303.38, 305.69
06/17/87, 304.81, 305.74, 304.03, 304.81
06/16/87, 304.76, 304.86, 302.60, 304.76
06/15/87, 303.14, 304.11, 301.62, 303.14
06/12/87, 301.62, 302.22, 300.80, 301.62
06/11/87, 298.73, 298.94, 297.47, 298.73
06/10/87, 297.47, 300.81, 295.66, 297.47
06/09/87, 297.28, 297.59, 295.90, 297.28
06/08/87, 296.72, 297.03, 291.55, 296.72
