Date,Open,High,Low,Close
1987-11-10,239.0,243.17,237.64,239.0
1987-11-09,243.17,250.41,243.01,243.17
1987-11-06,250.41,257.21,249.68,250.41
1987-11-05,254.48,256.09,247.72,254.48
1987-11-04,248.96,250.57,246.94,248.96
1987-11-03,250.82,255.75,242.78,250.82
1987-11-02,255.75,255.75,249.15,255.75
1987-10-30,251.79,254.04,244.77,251.79
1987-10-29,244.77,246.69,233.28,244.77
1987-10-28,233.28,238.58,226.29,233.28
1987-10-27,233.19,237.81,227.67,233.19
1987-10-26,227.67,248.22,227.26,227.67
1987-10-23,248.22,250.7,242.76,248.22
1987-10-22,248.25,258.38,242.99,248.25
1987-10-21,258.38,258.47,249.6,258.38
1987-10-20,236.83,238.26,221.39,236.83
1987-10-19,224.84,282.7,224.83,224.84
1987-10-16,282.7,298.92,281.52,282.7
1987-10-15,298.08,305.23,298.07,298.08
1987-10-14,305.23,314.52,304.78,305.23
1987-10-13,314.52,314.53,309.39,314.52
1987-10-12,309.39,311.07,307.76,309.39
1987-10-09,311.07,315.04,310.97,311.07
1987-10-08,314.16,319.34,312.02,314.16
1987-10-07,318.54,319.39,315.78,318.54
1987-10-06,319.22,328.08,319.17,319.22
1987-10-05,328.08,328.57,326.09,328.08
1987-10-02,328.07,328.94,327.22,328.07
1987-10-01,327.33,327.34,321.83,327.33
1987-09-30,321.83,322.53,320.16,321.83
1987-09-29,321.69,324.63,320.27,321.69
1987-09-28,323.2,325.33,320.16,323.2
1987-09-25,320.16,320.55,318.1,320.16
1987-09-24,319.72,322.01,319.12,319.72
1987-09-23,321.19,321.83,319.12,321.19
1987-09-22,319.5,319.51,308.69,319.5
1987-09-21,310.54,317.66,310.12,310.54
1987-09-18,314.86,316.99,314.86,314.86
1987-09-17,314.93,316.08,313.45,314.93
1987-09-16,314.86,319.5,314.61,314.86
1987-09-15,317.74,323.08,317.63,317.74
1987-09-14,323.08,323.81,320.4,323.08
1987-09-11,321.98,322.45,317.13,321.98
1987-09-10,317.13,317.59,313.92,317.13
1987-09-09,313.92,315.41,312.29,313.92
1987-09-08,313.56,316.7,308.56,313.56
1987-09-04,316.7,322.03,316.53,316.7
1987-09-03,320.21,324.29,317.39,320.21
1987-09-02,321.68,324.53,318.76,321.68
1987-09-01,323.4,332.18,322.83,323.4
1987-08-31,329.8,329.79,327.82,329.8
1987-08-28,327.04,331.38,327.04,327.04
1987-08-27,331.38,334.57,331.1,331.38
1987-08-26,334.57,337.39,334.46,334.57
1987-08-25,336.77,337.89,333.33,336.77
1987-08-24,333.33,335.9,331.92,333.33
1987-08-21,335.9,336.37,334.3,335.9
1987-08-20,334.84,335.19,329.83,334.84
1987-08-19,329.83,329.89,326.54,329.83
1987-08-18,329.25,334.11,326.43,329.25
1987-08-17,334.11,335.43,332.88,334.11
1987-08-14,333.99,336.08,332.63,333.99
1987-08-13,334.65,335.52,332.38,334.65
1987-08-12,332.39,334.57,331.06,332.39
1987-08-11,333.33,333.4,328.0,333.33
1987-08-10,328.0,328.0,322.95,328.0
1987-08-07,323.0,324.15,321.82,323.0
1987-08-06,322.09,322.09,317.5,322.09
1987-08-05,318.45,319.74,316.23,318.45
1987-08-04,316.23,318.25,314.51,316.23
1987-08-03,317.57,320.26,316.52,317.57
1987-07-31,318.66,318.85,317.56,318.66
1987-07-30,318.05,318.53,315.65,318.05
1987-07-29,315.65,315.65,311.73,315.65
1987-07-28,312.33,312.33,310.28,312.33
1987-07-27,310.65,310.7,308.61,310.65
1987-07-24,309.27,309.28,307.78,309.27
1987-07-23,307.81,309.03,306.27,307.81
1987-07-22,308.47,309.12,307.22,308.47
1987-07-21,308.55,312.41,307.51,308.55
1987-07-20,311.39,314.59,311.24,311.39
1987-07-17,314.59,314.59,312.38,314.59
1987-07-16,312.7,312.83,310.42,312.7
1987-07-15,310.42,312.08,309.07,310.42
1987-07-14,310.68,310.69,307.46,310.68
1987-07-13,307.63,308.41,305.49,307.63
1987-07-10,308.37,308.4,306.96,308.37
1987-07-09,307.52,309.56,307.42,307.52
1987-07-08,308.29,308.48,306.01,308.29
1987-07-07,307.4,308.63,304.73,307.4
1987-07-06,304.92,306.75,304.23,304.92
1987-07-02,305.63,306.34,302.94,305.63
1987-07-01,302.94,304.0,302.53,302.94
1987-06-30,304.0,308.0,303.01,304.0
1987-06-29,307.9,308.15,306.75,307.9
1987-06-26,307.16,308.96,306.38,307.16
1987-06-25,308.96,309.44,306.86,308.96
1987-06-24,306.86,308.91,306.32,306.86
1987-06-23,308.43,310.27,307.48,308.43
1987-06-22,309.65,310.2,306.97,309.65
1987-06-19,306.97,306.97,305.55,306.97
1987-06-18,305.69,306.13,303.38,305.69
1987-06-17,304.81,305.74,304.03,304.81
1987-06-16,304.76,304.86,302.6,304.76
1987-06-15,303.14,304.11,301.62,303.14
1987-06-12,301.62,302.22,300.8,301.62
1987-06-11,298.73,298.94,297.47,298.73
1987-06-10,297.47,300.81,295.66,297.47
1987-06-09,297.28,297.59,295.9,297.28
1987-06-08,296.72,297.03,291.55,296.72
1987-06-05,293.45,295.11,292.8,293.45
1987-06-04,295.09,295.1,292.76,295.09
1987-06-03,293.47,293.47,288.46,293.47
1987-06-02,288.46,290.04,286.93,288.46
1987-06-01,289.83,291.96,289.23,289.83
1987-05-29,290.1,292.87,289.7,290.1
1987-05-28,290.76,291.5,286.33,290.76
1987-05-27,288.73,290.78,288.19,288.73
1987-05-26,289.11,289.11,282.16,289.11
1987-05-22,282.16,283.33,280.17,282.16
1987-05-21,280.17,282.31,278.21,280.17
1987-05-20,278.21,280.89,277.01,278.21
1987-05-19,279.62,287.39,278.83,279.62
1987-05-18,286.65,287.43,282.57,286.65
1987-05-15,287.43,294.24,287.11,287.43
1987-05-14,294.24,295.1,292.95,294.24
1987-05-13,293.98,294.54,290.74,293.98
1987-05-12,293.3,293.3,290.18,293.3
1987-05-11,291.57,298.69,291.55,291.57
1987-05-08,293.37,296.18,291.73,293.37
1987-05-07,294.17,296.8,294.07,294.17
1987-05-06,295.47,296.19,295.47,295.47
1987-05-05,295.34,295.4,289.34,295.34
1987-05-04,289.36,289.99,286.39,289.36
1987-05-01,288.03,289.71,286.52,288.03
1987-04-30,288.36,290.08,284.57,288.36
1987-04-29,284.57,286.42,282.51,284.57
1987-04-28,282.51,285.95,281.83,282.51
1987-04-27,281.83,284.45,276.22,281.83
1987-04-24,281.52,286.82,281.18,281.52
1987-04-23,286.82,289.12,284.28,286.82
1987-04-22,287.19,293.46,286.98,287.19
1987-04-21,293.07,293.07,282.89,293.07
1987-04-20,286.09,288.36,284.55,286.09
1987-04-16,286.91,289.57,284.44,286.91
1987-04-15,284.44,285.14,279.16,284.44
1987-04-14,279.16,285.62,275.67,279.16
1987-04-13,285.62,293.36,285.62,285.62
1987-04-10,292.49,293.74,290.94,292.49
1987-04-09,292.86,297.71,291.5,292.86
1987-04-08,297.26,299.2,295.18,297.26
1987-04-07,296.69,303.65,296.69,296.69
1987-04-06,301.95,302.21,300.41,301.95
1987-04-03,300.41,301.3,292.3,300.41
1987-04-02,293.63,294.47,292.02,293.63
1987-04-01,292.39,292.39,288.34,292.39
1987-03-31,291.7,291.87,289.07,291.7
1987-03-30,289.2,296.13,286.69,289.2
1987-03-27,296.13,301.41,296.06,296.13
1987-03-26,300.93,302.72,300.38,300.93
1987-03-25,300.38,301.85,299.36,300.38
1987-03-24,301.64,301.92,300.14,301.64
1987-03-23,301.16,301.17,297.5,301.16
1987-03-20,298.17,298.17,294.08,298.17
1987-03-19,294.08,294.46,292.26,294.08
1987-03-18,292.78,294.58,290.87,292.78
1987-03-17,292.47,292.47,287.96,292.47
1987-03-16,288.23,289.89,286.64,288.23
1987-03-13,289.89,291.79,289.88,289.89
1987-03-12,291.22,291.91,289.66,291.22
1987-03-11,290.31,292.51,289.33,290.31
1987-03-10,290.86,290.88,287.89,290.86
1987-03-09,288.3,290.66,287.12,288.3
1987-03-06,290.66,290.67,288.77,290.66
1987-03-05,290.52,291.24,288.6,290.52
1987-03-04,288.62,288.62,284.12,288.62
1987-03-03,284.12,284.19,282.92,284.12
1987-03-02,283.0,284.83,282.3,283.0
1987-02-27,284.2,284.55,282.77,284.2
1987-02-26,282.96,284.4,280.73,282.96
1987-02-25,284.0,285.35,282.14,284.0
1987-02-24,282.88,283.33,281.45,282.88
1987-02-23,282.38,285.5,279.37,282.38
1987-02-20,285.48,285.98,284.31,285.48
1987-02-19,285.57,286.24,283.84,285.57
1987-02-18,285.42,287.55,282.97,285.42
1987-02-17,285.49,285.49,279.7,285.49
1987-02-13,279.7,280.91,275.01,279.7
1987-02-12,275.62,278.04,273.89,275.62
1987-02-11,277.54,277.71,274.71,277.54
1987-02-10,275.07,278.16,273.49,275.07
1987-02-09,278.16,280.04,277.24,278.16
1987-02-06,280.04,281.79,279.87,280.04
1987-02-05,281.16,282.26,278.66,281.16
1987-02-04,279.64,279.65,275.35,279.64
1987-02-03,275.99,277.83,275.84,275.99
1987-02-02,276.45,277.35,273.16,276.45
1987-01-30,274.08,274.24,271.38,274.08
1987-01-29,274.24,276.85,272.54,274.24
1987-01-28,275.4,275.71,273.03,275.4
1987-01-27,273.75,274.31,269.61,273.75
1987-01-26,269.61,270.4,267.73,269.61
1987-01-23,270.1,280.96,268.41,270.1
1987-01-22,273.91,274.05,267.32,273.91
1987-01-21,267.84,270.87,267.35,267.84
1987-01-20,269.04,271.03,267.65,269.04
1987-01-19,269.34,269.34,264.15,269.34
1987-01-16,266.28,267.24,264.31,266.28
1987-01-15,265.49,266.68,262.64,265.49
1987-01-14,262.64,262.72,259.62,262.64
1987-01-13,259.95,260.45,259.21,259.95
1987-01-12,260.3,260.3,257.92,260.3
1987-01-09,258.73,259.2,256.11,258.73
1987-01-08,257.29,257.28,254.97,257.29
1987-01-07,255.33,255.72,252.65,255.33
1987-01-06,252.78,253.99,252.14,252.78
1987-01-05,252.19,252.57,246.45,252.19
1987-01-02,246.45,246.45,242.17,246.45
1986-12-31,242.17,244.03,241.28,242.17
1986-12-30,243.37,244.62,243.12,243.37
1986-12-29,244.67,246.92,244.42,244.67
1986-12-26,246.92,246.92,246.79,246.92
1986-12-24,246.75,247.13,246.13,246.75
1986-12-23,246.34,248.72,245.97,246.34
1986-12-22,248.75,249.63,247.5,248.75
1986-12-19,249.73,249.85,245.98,249.73
